일자,매매,전세,월세,총매물수
2026-01-02,56075,22677,20991,99743
2026-01-03,56621,22687,21038,100346
2026-01-04,56335,22713,21089,100137
2026-01-05,55534,22366,20811,98711
2026-01-06,56379,22480,21042,99901
2026-01-07,57299,22848,21463,101610
2026-01-08,57159,22802,21420,101381
2026-01-09,57240,22797,21461,101498
2026-01-10,57242,22702,21375,101319
2026-01-12,56375,22294,20958,99627
2026-01-13,56421,22373,20974,99768
2026-01-14,57197,22560,21227,100984
2026-01-15,56536,22489,21257,100282
2026-01-16,56642,22480,21130,100252
2026-01-17,56732,22431,21107,100270
2026-01-18,56259,22297,20937,99493
2026-01-19,55420,21987,20588,97995
2026-01-20,56138,22021,20642,98801
2026-01-21,56657,22210,20854,99721
2026-01-22,56216,22149,20721,99086
2026-01-23,56219,22156,20628,99003
2026-01-24,56373,22179,20562,99114
2026-01-25,56777,22281,20572,99630
2026-01-26,55695,21876,20236,97807
2026-01-27,56107,21807,20107,98021
2026-01-28,57132,22079,20359,99570
2026-01-29,56909,22042,20257,99208
2026-01-30,57248,21890,20201,99339
2026-01-31,57468,21785,20095,99348
2026-02-02,56984,21474,19824,98282
2026-02-03,57850,21470,19754,99074
2026-02-04,59021,21674,19959,100654
2026-02-05,59003,21456,19734,100193
2026-02-06,59706,21377,19708,100791
2026-02-07,60141,21221,19648,101010
2026-02-09,59606,20668,19146,99420
2026-02-10,60417,20570,19072,100059
2026-02-11,61755,20723,19250,101728
2026-02-12,62357,20523,19044,101924
2026-02-13,63745,20422,18891,103058
